Time;PersistenceType;DataSize
1.81;Sharedpreferences;Small
1.35;Sharedpreferences;Small
1.84;Sharedpreferences;Small
1.54;Sharedpreferences;Small
1.81;Sharedpreferences;Small
1.82;Sharedpreferences;Small
1.79;Sharedpreferences;Small
1.57;Sharedpreferences;Small
1.78;Sharedpreferences;Small
1.79;Sharedpreferences;Small
1.97;Sharedpreferences;Small
1.6;Sharedpreferences;Small
1.77;Sharedpreferences;Small
2.23;Sharedpreferences;Small
1.79;Sharedpreferences;Small
1.77;Sharedpreferences;Small
1.32;Sharedpreferences;Small
1.76;Sharedpreferences;Small
2;Sharedpreferences;Small
1.3;Sharedpreferences;Small
1.77;Sharedpreferences;Small
1.35;Sharedpreferences;Small
1.56;Sharedpreferences;Small
1.79;Sharedpreferences;Small
1.31;Sharedpreferences;Small
2.23;Sharedpreferences;Small
1.83;Sharedpreferences;Small
1.09;Sharedpreferences;Small
1.57;Sharedpreferences;Small
1.1;Sharedpreferences;Small
1.61;GreenDAO;Small
1.78;GreenDAO;Small
2;GreenDAO;Small
2.47;GreenDAO;Small
2.44;GreenDAO;Small
2.06;GreenDAO;Small
2.21;GreenDAO;Small
1.75;GreenDAO;Small
1.58;GreenDAO;Small
1.6;GreenDAO;Small
1.77;GreenDAO;Small
2;GreenDAO;Small
1.86;GreenDAO;Small
1.77;GreenDAO;Small
2.2;GreenDAO;Small
1.75;GreenDAO;Small
1.58;GreenDAO;Small
1.53;GreenDAO;Small
2.25;GreenDAO;Small
2.06;GreenDAO;Small
1.37;GreenDAO;Small
2.46;GreenDAO;Small
1.8;GreenDAO;Small
1.83;GreenDAO;Small
2.67;GreenDAO;Small
2.02;GreenDAO;Small
1.98;GreenDAO;Small
1.34;GreenDAO;Small
1.76;GreenDAO;Small
1.31;GreenDAO;Small
1.57;SQLLite;Small
1.36;SQLLite;Small
1.31;SQLLite;Small
2.23;SQLLite;Small
2.43;SQLLite;Small
1.1;SQLLite;Small
1.78;SQLLite;Small
2.04;SQLLite;Small
1.81;SQLLite;Small
1.34;SQLLite;Small
2.06;SQLLite;Small
2.68;SQLLite;Small
1.58;SQLLite;Small
1.56;SQLLite;Small
2.22;SQLLite;Small
1.58;SQLLite;Small
2.35;SQLLite;Small
1.79;SQLLite;Small
1.75;SQLLite;Small
1.55;SQLLite;Small
1.78;SQLLite;Small
2.49;SQLLite;Small
1.64;SQLLite;Small
1.77;SQLLite;Small
1.74;SQLLite;Small
2.01;SQLLite;Small
2.04;SQLLite;Small
2.16;SQLLite;Small
1.12;SQLLite;Small
1.13;SQLLite;Small
1.57;Realm;Small
1.77;Realm;Small
1.75;Realm;Small
1.78;Realm;Small
1.36;Realm;Small
2.17;Realm;Small
1.58;Realm;Small
1.59;Realm;Small
1.36;Realm;Small
1.55;Realm;Small
1.33;Realm;Small
1.96;Realm;Small
1.58;Realm;Small
1.59;Realm;Small
1.78;Realm;Small
1.31;Realm;Small
1.59;Realm;Small
2.25;Realm;Small
1.34;Realm;Small
2.27;Realm;Small
1.74;Realm;Small
1.31;Realm;Small
1.81;Realm;Small
1.13;Realm;Small
1.58;Realm;Small
1.14;Realm;Small
1.98;Realm;Small
1.33;Realm;Small
1.12;Realm;Small
1.35;Realm;Small
6.68;GreenDAO;Medium
5.57;GreenDAO;Medium
4.18;GreenDAO;Medium
8.8;GreenDAO;Medium
9.82;GreenDAO;Medium
6.31;GreenDAO;Medium
7.48;GreenDAO;Medium
6.64;GreenDAO;Medium
6.84;GreenDAO;Medium
6.54;GreenDAO;Medium
5.53;GreenDAO;Medium
8.46;GreenDAO;Medium
9.95;GreenDAO;Medium
8.18;GreenDAO;Medium
9.98;GreenDAO;Medium
10.25;GreenDAO;Medium
5.71;GreenDAO;Medium
7.64;GreenDAO;Medium
6.44;GreenDAO;Medium
7.79;GreenDAO;Medium
4.33;GreenDAO;Medium
5.99;GreenDAO;Medium
11.01;GreenDAO;Medium
7.59;GreenDAO;Medium
4.37;GreenDAO;Medium
5.27;GreenDAO;Medium
8.02;GreenDAO;Medium
7.37;GreenDAO;Medium
8.94;GreenDAO;Medium
11.94;GreenDAO;Medium
5.39;SQLLite;Medium
5.2;SQLLite;Medium
7.73;SQLLite;Medium
7.14;SQLLite;Medium
4.04;SQLLite;Medium
5.49;SQLLite;Medium
8.02;SQLLite;Medium
6.68;SQLLite;Medium
7.11;SQLLite;Medium
8.58;SQLLite;Medium
9.98;SQLLite;Medium
7.05;SQLLite;Medium
8.53;SQLLite;Medium
9.26;SQLLite;Medium
8.13;SQLLite;Medium
8.92;SQLLite;Medium
6.49;SQLLite;Medium
8.43;SQLLite;Medium
6.87;SQLLite;Medium
8.93;SQLLite;Medium
9.21;SQLLite;Medium
7.02;SQLLite;Medium
8.11;SQLLite;Medium
7.11;SQLLite;Medium
6.87;SQLLite;Medium
9.13;SQLLite;Medium
10.07;SQLLite;Medium
7.62;SQLLite;Medium
9.45;SQLLite;Medium
11.26;SQLLite;Medium
6.32;Realm;Medium
3.79;Realm;Medium
6.53;Realm;Medium
7.21;Realm;Medium
10.34;Realm;Medium
4.01;Realm;Medium
6.47;Realm;Medium
6.43;Realm;Medium
6.3;Realm;Medium
6.36;Realm;Medium
4.07;Realm;Medium
4.43;Realm;Medium
6.26;Realm;Medium
5;Realm;Medium
4.8;Realm;Medium
5.56;Realm;Medium
5.01;Realm;Medium
7.42;Realm;Medium
5.63;Realm;Medium
4.66;Realm;Medium
6.67;Realm;Medium
7.88;Realm;Medium
4.89;Realm;Medium
4.87;Realm;Medium
5.75;Realm;Medium
5.97;Realm;Medium
5.38;Realm;Medium
6.11;Realm;Medium
5.52;Realm;Medium
4.9;Realm;Medium
11.43;GreenDAO;Large
12.11;GreenDAO;Large
11.31;GreenDAO;Large
12.17;GreenDAO;Large
11.98;GreenDAO;Large
13.39;GreenDAO;Large
12.36;GreenDAO;Large
10.94;GreenDAO;Large
10.65;GreenDAO;Large
13.56;GreenDAO;Large
11.28;GreenDAO;Large
11.62;GreenDAO;Large
11.8;GreenDAO;Large
11.11;GreenDAO;Large
13.25;GreenDAO;Large
12.72;GreenDAO;Large
13.45;GreenDAO;Large
10.38;GreenDAO;Large
12.42;GreenDAO;Large
12.98;GreenDAO;Large
13.16;GreenDAO;Large
11.97;GreenDAO;Large
11.86;GreenDAO;Large
11.09;GreenDAO;Large
12.42;GreenDAO;Large
11.89;GreenDAO;Large
13.14;GreenDAO;Large
11.67;GreenDAO;Large
12.64;GreenDAO;Large
12.56;GreenDAO;Large
11.75;SQLLite;Large
11.98;SQLLite;Large
10.79;SQLLite;Large
11.7;SQLLite;Large
12.44;SQLLite;Large
10.96;SQLLite;Large
11.75;SQLLite;Large
11.96;SQLLite;Large
11.09;SQLLite;Large
11.31;SQLLite;Large
11.14;SQLLite;Large
11.11;SQLLite;Large
12.58;SQLLite;Large
12.2;SQLLite;Large
11.56;SQLLite;Large
10.92;SQLLite;Large
11.79;SQLLite;Large
11.96;SQLLite;Large
11.45;SQLLite;Large
10.7;SQLLite;Large
11.3;SQLLite;Large
11.4;SQLLite;Large
11.28;SQLLite;Large
11.56;SQLLite;Large
11.58;SQLLite;Large
12.96;SQLLite;Large
11.26;SQLLite;Large
11.06;SQLLite;Large
10.58;SQLLite;Large
11.33;SQLLite;Large
9.61;Realm;Large
7.68;Realm;Large
9.64;Realm;Large
11.21;Realm;Large
8.67;Realm;Large
9.33;Realm;Large
13.36;Realm;Large
10.02;Realm;Large
8.28;Realm;Large
8.46;Realm;Large
9.54;Realm;Large
9.76;Realm;Large
10.27;Realm;Large
11.55;Realm;Large
11.34;Realm;Large
11.92;Realm;Large
11.76;Realm;Large
10.72;Realm;Large
10.6;Realm;Large
12.22;Realm;Large
10.13;Realm;Large
10.04;Realm;Large
10.99;Realm;Large
11.85;Realm;Large
12.74;Realm;Large
12.12;Realm;Large
10.85;Realm;Large
12.32;Realm;Large
12.04;Realm;Large
10.53;Realm;Large
